Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2023-000526,39354949262,12/24/2022 6:35:00 AM,01/02/2023 1:15:00 AM,01/01/2023 1:15:28 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SW,W,W3,ROXHILL/WESTWOOD/ARBOR HEIGHTS,44XX BLOCK OF SW 101ST ST,-122.3897673,47.512961
2023-000382,39614161453,01/01/2023 9:37:00 AM,,01/01/2023 1:50:42 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R2,CLAREMONT/RAINIER VISTA,,0,0
2022-927312,39330562778,12/29/2022 10:35:00 PM,12/29/2022 10:41:00 PM,01/01/2023 2:12:46 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D3,SLU/CASCADE,2XX BLOCK OF PONTIUS AVE N,-122.3317002,47.62024125
2022-927315,39330771216,12/19/2022 4:20:00 PM,12/19/2022 5:20:00 PM,01/01/2023 3:04:18 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4XX BLOCK OF BROADWAY CT,-122.3207492,47.60571969
2022-927317,39330772818,12/30/2022 5:00:00 AM,12/30/2022 8:20:00 AM,01/01/2023 3:04:38 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R1,MID BEACON HILL,14XX BLOCK OF S DAKOTA ST,-122.3140746,47.56724001
2022-927318,39330773299,12/29/2022 11:00:00 PM,12/30/2022 7:30:00 AM,01/01/2023 3:04:43 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,B,B3,WALLINGFORD,44XX BLOCK OF THACKERAY PL NE,-122.3261872,47.66078355
2022-927320,39330774049,12/29/2022 7:30:00 PM,12/29/2022 8:00:00 PM,01/01/2023 3:04:53 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W2,ALASKA JUNCTION,39XX BLOCK OF SW ALASKA ST,-122.3821296,47.56105512
2022-927322,39330777170,12/30/2022 3:40:00 AM,12/30/2022 6:40:00 AM,01/01/2023 3:05:14 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,C,C3,MADISON PARK,12XX BLOCK OF 37TH AVE E,-122.2854681,47.63026061
2022-927324,39330778472,12/27/2022 6:40:00 PM,12/27/2022 10:30:00 PM,01/01/2023 3:05:26 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,1XX BLOCK OF 1ST AVE N,-122.3554483,47.6191851
2022-927325,39330779247,12/16/2022 1:00:00 AM,12/16/2022 9:00:00 AM,01/01/2023 3:05:34 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W3,MORGAN,45XX BLOCK OF SW HOLLY ST,-122.3905194,47.54312876
2022-927326,39330779619,12/30/2022 11:40:00 AM,12/30/2022 11:40:00 AM,01/01/2023 3:05:41 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,W,W2,ALASKA JUNCTION,48XX BLOCK OF CALIFORNIA AVE SW,-122.3868564,47.55841117
2022-927327,39330779841,11/18/2022 5:00:00 AM,11/18/2022 8:00:00 PM,01/01/2023 3:05:46 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,K,K2,PIONEER SQUARE,5XX BLOCK OF 1ST AVE S,-122.3341912,47.59607621
2022-927328,39330780267,12/23/2022 5:00:00 PM,12/23/2022 10:00:00 PM,01/01/2023 3:05:54 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,K,K1,DOWNTOWN COMMERCIAL,10XX BLOCK OF 4TH AVE,-122.3332356,47.60644458
2023-000605,39330811916,01/01/2023 2:00:00 PM,,01/01/2023 3:06:03 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,L,L2,NORTHGATE,4XX BLOCK OF NE NORTHGATE WAY,-122.3246152,47.7086028
2023-000598,39330850958,12/31/2022 9:00:00 PM,12/31/2022 10:00:00 PM,01/01/2023 3:19:21 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SW,W,W3,MORGAN,,0,0
2022-927334,39330893989,12/29/2022 12:00:00 AM,12/30/2022 11:00:00 AM,01/01/2023 3:33:15 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,C,C3,MADISON PARK,33XX BLOCK OF E MERCER ST,-122.2888836,47.62494029
2022-927335,39330894921,12/30/2022 12:45:00 PM,12/30/2022 1:00:00 PM,01/01/2023 3:33:25 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,S,S,S1,NEW HOLLY,69XX BLOCK OF M L KING JR WAY S,-122.2826025,47.53978646
2022-927336,39330895885,12/29/2022 12:00:00 AM,12/30/2022 3:50:00 AM,01/01/2023 3:33:36 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,E,G,G2,CENTRAL AREA/SQUIRE PARK,18XX BLOCK OF E CHERRY ST,-122.3082766,47.60802362
2022-927344,39330898643,12/26/2022 5:06:00 PM,12/26/2022 5:15:00 PM,01/01/2023 3:34:15 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U3,ROOSEVELT/RAVENNA,26XX BLOCK OF NE UNIVERSITY VILLAGE ST,-122.298411,47.663323
2022-927346,39330934460,12/28/2022 4:20:00 PM,12/28/2022 4:20:00 PM,01/01/2023 3:42:55 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B3,WALLINGFORD,17XX BLOCK OF N 42ND ST,-122.336822,47.65798766
2022-927347,39330935819,12/30/2022 2:06:00 PM,12/30/2022 2:28:00 PM,01/01/2023 3:43:00 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,Q,Q1,MAGNOLIA,15XX BLOCK OF W ARMORY WAY,-122.3774365,47.63833046
2022-927348,39330936998,12/08/2022 12:00:00 AM,12/09/2022 12:00:00 AM,01/01/2023 3:43:12 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,U,U2,UNIVERSITY,42XX BLOCK OF 7TH AVE NE,-122.320842,47.658491
2022-927349,39330937776,12/28/2022 3:00:00 AM,12/30/2022 4:00:00 AM,01/01/2023 3:43:16 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,G,G1,FIRST HILL,5XX BLOCK OF TERRY AVE,-122.3233152,47.60566146
2022-927350,39330938007,12/26/2022 12:30:00 AM,12/26/2022 12:45:00 AM,01/01/2023 3:43:21 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,F,F1,NORTH DELRIDGE,65XX BLOCK OF DELRIDGE WAY SW,-122.3612059,47.54329808
2022-927351,39330939078,12/25/2022 12:30:00 PM,12/25/2022 1:00:00 PM,01/01/2023 3:43:30 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,S,S,S3,RAINIER BEACH,92XX BLOCK OF RAINIER AVE S,-122.2680301,47.51985178
2022-927353,39330939403,12/22/2022 3:30:00 PM,12/30/2022 4:00:00 PM,01/01/2023 3:43:36 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,L,L2,NORTHGATE,89XX BLOCK OF ROOSEVELT WAY NE,-122.3176006,47.69355643
2022-927352,39330940022,12/30/2022 1:55:00 AM,12/30/2022 5:55:00 AM,01/01/2023 3:43:41 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,C,C2,MILLER PARK,26XX BLOCK OF E VALLEY ST,-122.2975892,47.62590435
2022-927356,39330940443,12/29/2022 12:00:00 AM,12/30/2022 8:00:00 AM,01/01/2023 3:43:50 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,N,N3,GREENWOOD,7XX BLOCK OF N 94TH ST,-122.3486392,47.69687421
2022-927358,39330941755,12/30/2022 6:13:00 PM,12/30/2022 6:15:00 PM,01/01/2023 3:44:06 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U3,ROOSEVELT/RAVENNA,26XX BLOCK OF NE UNIVERSITY VILLAGE ST,-122.298411,47.663323
2022-927362,39330975361,12/30/2022 6:59:00 PM,12/30/2022 7:09:00 PM,01/01/2023 3:52:49 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R3,HILLMAN CITY,S ORCAS ST / RAINIER AVE S,-122.2776641,47.55117603
2022-927363,39330976201,12/30/2022 6:52:00 PM,12/30/2022 7:32:00 PM,01/01/2023 3:52:56 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,Q,Q1,MAGNOLIA,15XX BLOCK OF W ARMORY WAY,-122.3774365,47.63833046
2022-927364,39330977554,12/30/2022 2:00:00 AM,12/30/2022 8:00:00 AM,01/01/2023 3:53:08 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U3,SANDPOINT,88XX BLOCK OF 26TH AVE NE,-122.2998421,47.69299178
2022-927365,39330978219,12/30/2022 10:10:00 PM,12/30/2022 10:10:00 PM,01/01/2023 3:53:13 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,G,G3,MADRONA/LESCHI,26XX BLOCK OF S DEARBORN ST,-122.2981747,47.59553495
2022-927368,39330978876,12/30/2022 10:15:00 PM,12/30/2022 10:15:00 PM,01/01/2023 3:53:17 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,4TH AVE N / REPUBLICAN ST,-122.3488863,47.62341316
2022-927366,39330979535,12/30/2022 8:00:00 PM,12/30/2022 9:30:00 PM,01/01/2023 3:53:25 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,M,M1,BELLTOWN,20XX BLOCK OF 1ST AVE,-122.3432623,47.61145275
2022-927367,39330980502,12/30/2022 10:20:00 PM,12/30/2022 10:20:00 PM,01/01/2023 3:53:32 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,DENNY WAY / WARREN AVE N,-122.3541475,47.61859702
2022-927369,39330981099,11/24/2022 12:25:00 PM,11/24/2022 12:25:00 PM,01/01/2023 3:53:40 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,3RD AVE W / W OLYMPIC PL,-122.3606122,47.62673037
2022-927370,39330981377,12/30/2022 9:00:00 PM,12/30/2022 10:00:00 PM,01/01/2023 3:53:46 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,1XX BLOCK OF DENNY WAY,-122.3537511,47.61859552
2022-927371,39330981851,12/30/2022 8:00:00 AM,12/30/2022 11:40:00 PM,01/01/2023 3:53:53 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,S,S,S2,RAINIER BEACH,87XX BLOCK OF RAINIER AVE S,-122.269982,47.52473905
2022-927372,39331016897,12/30/2022 8:35:00 PM,12/30/2022 10:15:00 PM,01/01/2023 4:02:51 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,2XX BLOCK OF 2ND AVE N,-122.3528255,47.62034258
2022-927374,39331017632,12/09/2022 12:20:00 AM,12/10/2022 10:20:00 AM,01/01/2023 4:02:58 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,Q,Q3,QUEEN ANNE,3XX BLOCK OF 1ST AVE N,-122.355429,47.62151944
2022-927375,39331019019,12/30/2022 8:47:00 PM,12/30/2022 8:47:00 PM,01/01/2023 4:03:05 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,D,D2,SLU/CASCADE,21XX BLOCK OF 8TH AVE,-122.3385445,47.61687463
2022-927376,39331021773,12/31/2022 2:00:00 AM,12/31/2022 7:00:00 AM,01/01/2023 4:03:23 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U1,ROOSEVELT/RAVENNA,NE 64TH ST / 9TH AVE NE,-122.3187032,47.6749859
2022-927378,39331101997,12/31/2022 9:27:00 AM,12/31/2022 9:34:00 AM,01/01/2023 4:22:53 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,J,J2,GREENWOOD,1XX BLOCK OF NW 81ST ST,-122.3593117,47.68766414
2022-927379,39331102470,12/30/2022 5:00:00 PM,12/30/2022 5:00:00 PM,01/01/2023 4:22:59 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,F,F1,PIGEON POINT,DELRIDGE WAY SW / SW ANDOVER ST,-122.3632826,47.56834747
2022-927385,39331105600,12/30/2022 12:00:00 AM,12/31/2022 6:00:00 AM,01/01/2023 4:23:27 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,Q,Q2,QUEEN ANNE,14XX BLOCK OF 5TH AVE W,-122.3631082,47.6318286
2022-927387,39331106723,12/30/2022 5:35:00 PM,,01/01/2023 4:23:42 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,W,Q,Q3,QUEEN ANNE,3XX BLOCK OF QUEEN ANNE AVE N,-122.3567339,47.62152468
2022-927388,39331106926,12/29/2022 5:40:00 AM,12/30/2022 9:00:00 PM,01/01/2023 4:23:48 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,B,B3,WALLINGFORD,2ND AVE NE / NE 44TH ST,-122.3272667,47.66022448
2022-927390,39331107497,12/30/2022 4:05:00 PM,12/30/2022 4:20:00 PM,01/01/2023 4:24:02 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B3,WALLINGFORD,21XX BLOCK OF N NORTHLAKE WAY,-122.3324939,47.64829623
2022-927392,39331107911,12/30/2022 6:30:00 PM,12/30/2022 8:30:00 PM,01/01/2023 4:24:13 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SW,W,W2,ALASKA JUNCTION,41XX BLOCK OF CALIFORNIA AVE SW,-122.3867714,47.56562936
2022-927394,39331108353,12/30/2022 8:25:00 AM,12/31/2022 1:25:00 PM,01/01/2023 4:24:22 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,J,J3,GREENWOOD,82XX BLOCK OF AURORA AVE N,-122.3445126,47.68875092
2023-000623,39331270762,12/15/2022 12:00:00 AM,12/24/2022 12:00:00 AM,01/01/2023 4:50:05 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,N,N3,BITTERLAKE,105XX BLOCK OF LINDEN AVE N,-122.3473916,47.70579253
2023-000252,39328438796,01/01/2023 4:24:00 AM,01/01/2023 4:58:00 AM,01/01/2023 4:58:24 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B1,BALLARD SOUTH,52XX BLOCK OF LEARY AVE NW,-122.3814946,47.66613372
2023-000574,39331260516,12/31/2022 9:01:00 PM,,01/01/2023 4:59:33 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,N,N3,GREENWOOD,7XX BLOCK OF N 88TH ST,-122.3485828,47.69274946
2023-000163,39328675718,01/01/2023 2:23:00 AM,,01/01/2023 5:46:55 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,C,C3,CENTRAL AREA/SQUIRE PARK,9XX BLOCK OF 23RD AVE,-122.3027554,47.61080622
2023-000648,39331539507,01/01/2023 10:00:00 AM,01/01/2023 10:15:00 AM,01/01/2023 6:12:10 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,S,S,S1,NEW HOLLY,69XX BLOCK OF M L KING JR WAY S,-122.2826025,47.53978646
2023-000461,39331647717,01/01/2023 11:44:00 AM,,01/01/2023 6:38:32 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,J,J2,BALLARD NORTH,67XX BLOCK OF 25TH AVE NW,-122.3886672,47.67858387
2023-000786,39332051468,01/01/2023 1:10:00 PM,01/01/2023 5:00:00 PM,01/01/2023 8:27:55 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,O,O1,SODO,5XX BLOCK OF S MASSACHUSETTS ST,-122.3264902,47.58822655
2023-000767,39332064493,12/31/2022 5:00:00 PM,01/01/2023 10:30:00 AM,01/01/2023 8:42:01 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,25TH AVE SW / SW CAMBRIDGE ST,-122.3645564,47.51919392
2023-000357,39329446705,12/31/2022 7:40:00 PM,12/31/2022 7:45:00 PM,01/01/2023 9:46:24 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,L,L3,LAKECITY,30XX BLOCK OF NE 127TH ST,-122.2952484,47.72109192
2023-000373,39329571809,01/01/2023 9:00:00 AM,01/01/2023 9:08:00 AM,01/01/2023 10:25:59 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,G,G3,MADRONA/LESCHI,S JACKSON ST / 26TH AVE S,-122.2986681,47.59925198
2023-000089,39329566545,12/17/2022 12:00:00 AM,12/19/2022 12:00:00 AM,01/01/2023 10:29:22 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,W,D,D3,EASTLAKE - WEST,22XX BLOCK OF YALE AVE E,-122.3271102,47.63898727
2023-000866,39332466332,01/01/2023 12:54:00 AM,,01/01/2023 10:53:03 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,M,M3,DOWNTOWN COMMERCIAL,4XX BLOCK OF UNIVERSITY ST,-122.334312,47.60846
2023-000376,39329825455,12/31/2022 10:31:00 AM,12/31/2022 10:32:00 AM,01/01/2023 11:07:54 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,Q,Q2,QUEEN ANNE,28XX BLOCK OF 13TH AVE W,-122.3734818,47.64566342
2023-000345,39329909637,01/01/2023 8:07:00 AM,,01/01/2023 11:24:52 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,O,O3,GEORGETOWN,59XX BLOCK OF 4TH AVE S,-122.3295808,47.54925505
2023-000993,39354054693,01/01/2023 10:47:00 PM,,01/01/2023 11:44:52 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,S,S,S1,NEW HOLLY,,0,0
2023-000383,39476828665,12/31/2022 8:30:00 PM,01/04/2023 1:11:00 PM,01/01/2023 11:52:17 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,W,Q,Q2,QUEEN ANNE,W GALER ST / 2ND AVE W,-122.3596821,47.63232077
2023-000379,39330078197,01/01/2023 7:00:00 AM,01/01/2023 8:00:00 AM,01/01/2023 12:10:39 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,B,B2,FREMONT,42XX BLOCK OF LINDEN AVE N,-122.348665,47.658992
2023-000448,39330506990,12/31/2022 9:00:00 PM,01/14/2023 4:36:00 PM,01/01/2023 12:13:19 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,E,G,G2,JUDKINS PARK/NORTH BEACON HILL,2XX BLOCK OF 17TH AVE S,-122.3102687,47.60042246
2023-001410,39355933576,12/31/2022 11:36:00 AM,,01/02/2023 1:01:51 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,E,G,G3,MADRONA/LESCHI,23XX BLOCK OF S JACKSON ST,-122.3016853,47.59928482
2023-001069,39353642901,,,01/02/2023 1:49:19 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,UNKNOWN,1ST AVE W / W JOHN ST,-122.3580526,47.61977934
2023-001458,39356225414,01/01/2023 9:30:00 PM,01/02/2023 8:30:00 AM,01/02/2023 2:00:57 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,,0,0
2023-001555,39356546790,12/24/2021 12:00:00 AM,09/22/2022 12:00:00 AM,01/02/2023 3:08:36 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,F,F1,HIGH POINT,63XX BLOCK OF 34TH AVE SW,-122.3750698,47.54563408
2023-001544,40319690117,01/01/2023 5:00:00 PM,01/09/2023 1:27:00 PM,01/02/2023 3:40:43 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,B,B2,FREMONT,46XX BLOCK OF PHINNEY AVE N,-122.3539773,47.66251047
2023-000900,39353882098,01/01/2023 8:45:00 PM,01/01/2023 10:31:00 PM,01/02/2023 3:49:44 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,S,R,R1,MID BEACON HILL,41XX BLOCK OF 14TH AVE S,-122.3147121,47.5662778
2023-001491,39356785087,01/02/2023 12:45:00 PM,01/02/2023 1:10:00 PM,01/02/2023 3:59:26 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U3,ROOSEVELT/RAVENNA,26XX BLOCK OF NE UNIVERSITY VILLAGE ST,-122.2984112,47.66332336
2023-001465,39356809860,01/02/2023 12:20:00 PM,01/02/2023 12:30:00 PM,01/02/2023 4:07:50 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,L,L2,NORTHGATE,3XX BLOCK OF NE NORTHGATE WAY,-122.3246152,47.7086028
2023-001608,39356966517,12/25/2022 7:30:00 PM,12/26/2022 7:30:00 PM,01/02/2023 4:50:07 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,S,S2,BRIGHTON/DUNLAP,42XX BLOCK OF S OTHELLO ST,-122.2800603,47.53705079
2023-001503,39357036356,12/06/2022 3:32:00 PM,,01/02/2023 5:06:00 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,M,M2,DOWNTOWN COMMERCIAL,3XX BLOCK OF PINE ST,-122.3381467,47.61097516
2023-001700,39357302972,01/01/2023 11:00:00 AM,01/02/2023 5:00:00 PM,01/02/2023 6:15:16 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,L,L2,ROOSEVELT/RAVENNA,81XX BLOCK OF 8TH AVE NE,-122.3202692,47.68785477
2023-001614,39357375319,12/29/2022 4:07:00 PM,,01/02/2023 6:35:49 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,N,N1,BALLARD NORTH,102XX BLOCK OF BELGROVE CT NW,-122.3828498,47.70307735
2023-001771,39357945740,01/02/2023 8:10:00 PM,01/02/2023 8:11:00 PM,01/02/2023 8:41:46 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SW,W,W1,NORTH ADMIRAL,32XX BLOCK OF CALIFORNIA AVE SW,-122.3867616,47.57472374
2023-001250,39354786669,01/01/2023 12:45:00 AM,,01/02/2023 8:48:49 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,D,D1,BELLTOWN,25XX BLOCK OF 1ST AVE,-122.349214,47.614972
2023-001772,39357984436,12/01/2022 8:15:00 PM,12/20/2022 12:00:00 AM,01/02/2023 9:12:50 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,W,D,D3,SLU/CASCADE,1XX BLOCK OF FAIRVIEW AVE N,-122.3342579,47.61909104
2023-001276,39355503312,12/31/2022 3:00:00 PM,01/02/2023 8:46:00 AM,01/02/2023 9:37:35 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,S,R,R2,CLAREMONT/RAINIER VISTA,40XX BLOCK OF M L KING JR WAY S,-122.2968064,47.56720509
2023-001208,39355403880,01/02/2023 8:31:00 AM,,01/02/2023 9:39:44 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,,0,0
2023-001269,45589786191,01/01/2023 9:05:00 PM,03/09/2023 12:44:00 PM,01/02/2023 9:41:53 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,S,R,R3,COLUMBIA CITY,37XX BLOCK OF S DAWSON ST,-122.2848211,47.55549153
2023-001327,39355265360,12/26/2022 7:00:00 PM,,01/02/2023 10:16:22 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,L,L2,NORTHGATE,8XX BLOCK OF NE NORTHGATE WAY,-122.319207,47.708569
2023-001343,44073861744,12/28/2022 10:00:00 AM,02/28/2023 7:30:00 AM,01/02/2023 10:31:25 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,L,L3,LAKECITY,125XX BLOCK OF 35TH AVE NE,-122.2907984,47.72094623
2023-001347,39355373835,12/28/2022 11:43:00 AM,12/28/2022 8:00:00 PM,01/02/2023 10:45:52 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,U,U1,UNIVERSITY,47XX BLOCK OF 21ST AVE NE,-122.3054478,47.6639954
2023-001344,39355384517,01/01/2023 6:00:00 PM,01/02/2023 10:00:00 AM,01/02/2023 10:47:54 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,K,K1,DOWNTOWN COMMERCIAL,CHERRY ST / 1ST AVE,-122.3342811,47.60255533
2023-001627,39479127929,12/30/2022 10:00:00 PM,01/04/2023 6:18:00 PM,01/02/2023 11:17:19 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,N,N1,BITTERLAKE,7XX BLOCK OF N 143RD ST,-122.3491308,47.73231422
2023-001872,43177854632,12/30/2022 10:54:00 PM,02/22/2023 9:06:00 AM,01/02/2023 11:51:36 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,U,U2,UNIVERSITY,45XX BLOCK OF 16TH AVE NE,-122.3108434,47.66216819
2023-001398,39355747857,01/01/2023 7:30:00 PM,01/02/2023 11:00:00 AM,01/02/2023 12:10:23 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,5XX BLOCK OF ALOHA ST,-122.3455921,47.62715256
2023-001268,39355893492,12/30/2022 6:00:00 PM,01/02/2023 8:00:00 AM,01/02/2023 12:43:55 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,J,J2,BALLARD NORTH,,0,0
2023-001394,39355916212,01/02/2023 11:58:00 AM,,01/02/2023 12:48:24 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,J,J1,GREENWOOD,,0,0
2023-002237,39395116974,12/25/2022 3:00:00 PM,12/25/2022 11:00:00 PM,01/03/2023 1:32:32 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,Q,Q2,QUEEN ANNE,12XX BLOCK OF WARREN AVE N,-122.3540996,47.63018675
2023-900092,39393492872,01/02/2023 2:15:00 PM,,01/03/2023 1:33:37 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,SLU/CASCADE,6XX BLOCK OF JOHN ST,-122.3443434,47.61972448
