Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2023-900447,40062047725,01/05/2023 5:00:00 AM,01/05/2023 7:00:00 AM,01/07/2023 2:32:43 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R1,NORTH BEACON HILL,15XX BLOCK OF 15TH AVE S,-122.3137499,47.58926204
2023-900449,40062059082,01/06/2023 9:30:00 PM,01/06/2023 9:45:00 PM,01/07/2023 2:32:50 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,U,U1,ROOSEVELT/RAVENNA,82XX BLOCK OF LAKE CITY WAY NE,-122.3095218,47.68936805
2023-900448,40062096105,01/06/2023 9:00:00 PM,01/06/2023 9:10:00 PM,01/07/2023 2:33:03 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,9XX BLOCK OF S JACKSON ST,-122.320332,47.59918733
2023-006445,40069501263,01/07/2023 2:53:00 PM,01/07/2023 2:56:00 PM,01/07/2023 3:14:07 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,S,R,R2,MOUNT BAKER,27XX BLOCK OF RAINIER AVE S,-122.2991587,47.57967225
2023-900451,40071493070,01/06/2023 3:30:00 PM,01/06/2023 3:45:00 PM,01/07/2023 3:42:45 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,M,M1,BELLTOWN,20XX BLOCK OF 1ST AVE,-122.3432623,47.61145275
2023-006441,40072752918,01/07/2023 2:51:00 PM,,01/07/2023 3:52:22 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,25XX BLOCK OF SW TRENTON ST,-122.3652009,47.52468198
2023-006407,40073102465,01/07/2023 2:11:00 PM,,01/07/2023 3:58:14 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,S,O,O3,GEORGETOWN,62XX BLOCK OF CORSON AVE S,-122.3216838,47.54674503
2023-006270,41179553927,01/06/2023 12:00:00 PM,01/24/2023 10:15:00 PM,01/07/2023 4:10:15 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,W,Q,Q2,QUEEN ANNE,24XX BLOCK OF WARREN AVE N,-122.354469,47.64057324
2023-006346,40589005393,01/06/2023 5:30:00 PM,01/11/2023 7:12:00 PM,01/07/2023 4:26:51 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,L,L2,NORTHGATE,1XX BLOCK OF NE 95TH ST,-122.3271117,47.69772199
2023-006572,40090458132,01/07/2023 5:14:00 PM,,01/07/2023 5:39:38 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,Q,Q3,SLU/CASCADE,5XX BLOCK OF DENNY WAY,-122.345841,47.61856414
2023-006506,40096488845,01/02/2023 12:00:00 AM,01/07/2023 2:00:00 PM,01/07/2023 6:08:33 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,U,U1,UNIVERSITY,21XX BLOCK OF NE 47TH ST,-122.3049647,47.66307327
2023-006609,40099829082,01/07/2023 6:01:00 PM,,01/07/2023 6:22:53 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,B,B2,BALLARD SOUTH,6XX BLOCK OF NW 45TH ST,-122.3650898,47.66146174
2023-006123,40002592219,01/06/2023 5:00:00 PM,01/07/2023 6:10:00 AM,01/07/2023 7:39:08 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,J,J3,GREENWOOD,N 84TH ST / GREENWOOD AVE N,-122.3553015,47.68983726
2023-006392,40124088804,01/07/2023 4:02:00 AM,,01/07/2023 8:44:51 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,Q,Q2,QUEEN ANNE,24XX BLOCK OF QUEEN ANNE AVE N,-122.356906,47.64051474
2023-006673,40126593931,01/04/2023 7:00:00 PM,01/05/2023 7:00:00 AM,01/07/2023 8:56:28 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,S,S,S3,RAINIER BEACH,93XX BLOCK OF MARCUS AVE S,-122.2751232,47.51845039
2023-006737,40133240974,01/07/2023 8:44:00 PM,,01/07/2023 9:43:54 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,L,L2,NORTHGATE,,0,0
2023-006178,40019054281,01/07/2023 1:00:00 AM,01/07/2023 7:00:00 AM,01/07/2023 9:50:01 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,N,N3,NORTHGATE,11XX BLOCK OF N 92ND ST,-122.3432344,47.69562579
2023-006192,40555378970,01/07/2023 3:26:00 AM,01/11/2023 6:23:00 PM,01/07/2023 9:53:20 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,B,B3,WALLINGFORD,45XX BLOCK OF EASTERN AVE N,-122.3289642,47.66198736
2023-900385,40020446585,01/05/2023 10:00:00 PM,01/06/2023 9:00:00 AM,01/07/2023 10:02:50 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,S,S2,BRIGHTON/DUNLAP,67XX BLOCK OF RAINIER AVE S,-122.2721859,47.54158416
2023-900387,40020477081,01/05/2023 3:30:00 AM,01/05/2023 1:00:00 PM,01/07/2023 10:03:02 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,S,S,S3,RAINIER VIEW,102XX BLOCK OF 64TH AVE S,-122.2535459,47.50894988
2023-006481,40136824105,12/31/2022 12:00:00 AM,01/06/2023 11:59:00 PM,01/07/2023 10:07:51 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,B,B1,BALLARD SOUTH,17XX BLOCK OF NW 58TH ST,-122.3805035,47.67090633
2023-900388,40022156813,01/03/2023 5:38:00 PM,01/03/2023 6:00:00 PM,01/07/2023 10:12:49 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,N,N2,NORTHGATE,122XX BLOCK OF AURORA AVE N,-122.3448961,47.71717447
2023-900391,40022216846,01/05/2023 12:00:00 AM,01/05/2023 3:00:00 AM,01/07/2023 10:13:10 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U1,ROOSEVELT/RAVENNA,19XX BLOCK OF NE 73RD ST,-122.3072008,47.68124946
2023-900393,40027358268,01/05/2023 6:45:00 PM,01/05/2023 10:15:00 PM,01/07/2023 10:42:47 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,U,U3,UNIVERSITY,38XX BLOCK OF MONTLAKE BLVD NE,-122.3029317,47.65300203
2023-900394,40027376533,12/26/2022 8:15:00 PM,12/26/2022 8:18:00 PM,01/07/2023 10:42:52 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,5XX BLOCK OF 7TH AVE S,-122.3237553,47.59793037
2023-900397,40027454179,01/03/2023 12:00:00 AM,01/03/2023 10:00:00 AM,01/07/2023 10:43:16 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D1,BELLTOWN,1XX BLOCK OF CEDAR ST,-122.3510459,47.61546949
2023-900398,40027478977,01/04/2023 9:00:00 PM,01/04/2023 10:00:00 PM,01/07/2023 10:43:28 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U3,SANDPOINT,SAND POINT WAY NE / NE 77TH ST,-122.2644718,47.68475617
2023-900399,40027492333,01/06/2023 12:37:00 PM,01/06/2023 12:37:00 PM,01/07/2023 10:43:34 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,J,J2,BALLARD NORTH,84XX BLOCK OF 8TH AVE NW,-122.365994,47.69024353
2023-900400,40027509831,01/05/2023 11:15:00 PM,01/06/2023 8:30:00 AM,01/07/2023 10:43:39 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,G,G1,FIRST HILL,1XX BLOCK OF 12TH AVE,-122.3167819,47.60218964
2023-900403,40027557314,12/23/2022 5:00:00 PM,12/24/2022 10:00:00 AM,01/07/2023 10:43:54 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R1,NORTH BEACON HILL,23XX BLOCK OF 13TH AVE S,-122.3160103,47.58221284
2023-900406,40027574651,12/08/2022 12:00:00 PM,12/08/2022 3:00:00 PM,01/07/2023 10:43:59 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R3,LAKEWOOD/SEWARD PARK,50XX BLOCK OF S GENESEE ST,-122.2701001,47.56411327
2023-900404,40027612822,01/04/2023 7:00:00 PM,01/06/2023 12:30:00 PM,01/07/2023 10:44:14 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U1,UNIVERSITY,50XX BLOCK OF 22ND AVE NE,-122.3045336,47.66567347
2023-900405,40027630461,01/06/2023 12:30:00 PM,01/06/2023 12:35:00 PM,01/07/2023 10:44:19 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SW,W,W1,NORTH ADMIRAL,26XX BLOCK OF CALIFORNIA AVE SW,-122.3865836,47.58025275
2023-900409,40029089749,01/05/2023 7:56:00 PM,01/05/2023 7:58:00 PM,01/07/2023 10:52:42 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U3,ROOSEVELT/RAVENNA,26XX BLOCK OF NE UNIVERSITY VILLAGE ST,-122.298411,47.663323
2023-006231,40030120248,01/07/2023 9:15:00 AM,01/07/2023 9:16:00 AM,01/07/2023 10:56:36 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,L,L2,ROOSEVELT/RAVENNA,6XX BLOCK OF NE 76TH ST,-122.320858,47.68389428
2023-900412,40032653317,01/02/2023 2:37:00 PM,01/02/2023 2:40:00 PM,01/07/2023 11:12:47 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,S,S,S3,RAINIER BEACH,90XX BLOCK OF RAINIER AVE S,-122.2699879,47.52281565
2023-900418,40032770457,01/06/2023 1:00:00 PM,01/06/2023 1:01:00 PM,01/07/2023 11:13:26 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D3,EASTLAKE - WEST,20XX BLOCK OF EASTLAKE AVE E,-122.3258971,47.63750678
2023-006543,40164591451,01/07/2023 1:30:00 AM,,01/07/2023 11:13:47 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,K,K2,PIONEER SQUARE,2XX BLOCK OF S KING ST,-122.3309763,47.59828697
2023-006722,40165999332,01/07/2023 8:30:00 PM,,01/07/2023 11:21:47 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,U,U1,ROOSEVELT/RAVENNA,75XX BLOCK OF RAVENNA AVE NE,-122.3040124,47.68395381
2023-006205,40041194427,01/06/2023 9:00:00 PM,01/07/2023 8:53:00 AM,01/07/2023 11:46:40 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,J,J3,GREENWOOD,,0,0
2023-900420,40038740171,12/28/2022 3:35:00 PM,12/28/2022 3:45:00 PM,01/07/2023 11:52:51 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,J,J2,BALLARD NORTH,83XX BLOCK OF 15TH AVE NW,-122.3768028,47.68966673
2023-900422,40038801012,01/06/2023 10:45:00 AM,01/06/2023 11:15:00 AM,01/07/2023 11:53:15 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,L,L2,NORTHGATE,98XX BLOCK OF 4TH AVE NE,-122.3242515,47.70023926
